ticker,age_years,last_close,score_total,score_long_coil,score_tight_resistance,score_ascending_compression,pos_in_10y_range,dist_to_10y_high_pct,range_ratio_24_120,range_ratio_24_60,low_36m_above_10y_low_pct,slope_high_60m,slope_low_60m,trend_r2_60m,peak_age_months,old_peak_similarity,lifecycle,status,grade,lid_grade,coil_score,lid_slope_pct_per_year,proximity_pct,current_price_position,span_years,touches,touch_count,reviewed,review_status,review_id,review_as_of,review_algorithm_version,review_stale,review_effective,data_date,freshness,fetched_at,data_source
CBA.AX,34.916666666666664,176.07000732421875,0.34606481695199337,0.5050558823690999,0.3371157906091875,0.540621347701575,0.88503180919532,0.08296871185302734,0.4843389141542529,0.6390211650685886,0.7992141466452756,0.05256924613859934,0.053500770502882544,0.8209467685232663,0.0,0.7163020769755045,forming,basing,,,45.2,-4.19,95.86,within_lid_band,0.83,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:41.966Z,yfinance
INFY.NS,30.583333333333332,1079.0,0.2572593444345293,0.49588999605670186,0.0,0.23561338404739424,0.41168449370533916,0.4622342813137174,0.6495924123671489,1.0,1.2846512195675872,0.0017263939143126927,0.0028159267880696437,0.104872141233322,54.0,0.9738095003430709,forming,basing,,A,45.0,1.01,62.18,below_lid_band,3.17,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:46.282Z,yfinance
9988.HK,6.75,111.0,,,,,,,,,,,,,,,forming,basing,,B,43.4,-1.13,77.23,below_lid_band,1.17,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:38.899Z,yfinance
GIVN.SW,26.75,3196.0,0.1851002456290421,0.4000779727095517,0.0,0.14122951100636288,0.4701043973426131,0.3438718948881133,0.6719392597279342,0.9214750542299349,0.5005847953216375,-0.013052458679236456,-0.00917255576529839,0.04135583290858291,54.0,1.0,forming,basing,,B,42.4,-1.33,69.81,below_lid_band,2.67,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:45.209Z,yfinance
MC.PA,26.583333333333332,461.70001220703125,0.32051471286393696,0.5828697724627149,0.060770248934453985,0.26438886700716824,0.4163537225695685,0.4896086395448178,0.4297951306675992,0.6968273323795653,1.9951971718213979,-0.0057038018285470405,-0.011201619566548898,0.27713194800215224,39.0,1.0,forming,basing,,A,42.2,0.18,60.37,below_lid_band,3.0,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:47.153Z,yfinance
035420.KS,23.833333333333332,226000.0,0.2984055103529125,0.48459071286008654,0.20374392943813924,0.13303539962211672,0.3379501385041551,0.513978494623656,0.42354570637119116,0.503955174686882,0.4528846153846154,-0.041885262474356325,-0.03649641190975795,0.22101181971300388,60.0,1.0,forming,basing,,A,37.4,2.95,74.16,below_lid_band,1.0,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:34.734Z,yfinance
AZN.L,33.25,12670.0,0.2545315253443523,0.5069352924857349,0.0,0.3293841985940537,0.739093387866394,0.19463513857106535,0.5247524810146131,0.7994930698672595,1.3676176176176176,0.05310941769933789,0.04768333936086146,0.6087215511757289,40.0,0.8154368261147661,breaking_out,breaking_out,A,A,44.9,2.65,90.04,within_lid_band,1.5,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:40.671Z,yfinance
SHEL.L,30.0,3305.5,0.529990143504589,0.8298867889674411,0.36771483211826933,0.5736033267310885,0.8793754684827263,0.12052680590661168,0.3963772443890597,0.6012703059765304,744.4591260522519,0.05245177315023628,0.052248968104357446,0.7464531235485768,349.0,1.707830220250765,post_breakout,broken_out,,A,95.2,0.13,133.7,above_lid_band,24.08,5.0,5.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:52.544Z,yfinance
PHIA.AS,31.416666666666668,23.15999984741211,0.42627779311466135,0.6204573503501257,0.3619418450730767,0.20566082879613679,0.33181468622768157,0.5091996741824164,0.31479042516125416,0.40935925420956276,0.4194651548491226,-0.033979814353188656,-0.011964347491026515,4.714375067371712e-05,310.0,1.1208492695943255,post_breakout,broken_out,,A,91.7,-0.04,91.26,within_lid_band,27.92,7.0,7.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:50.312Z,yfinance
BAS.DE,29.666666666666668,48.56999969482422,0.33649039631744504,0.4890487900585743,0.2844333229458649,0.16527686905185057,0.1825209457568022,0.5084008279900546,0.28741148732582505,0.5498132793289933,0.0012047111282037508,-0.045569483637687785,-0.03163143580544371,0.21594492319415992,102.0,1.0,post_breakout,broken_out,,A,90.1,0.22,88.18,within_lid_band,18.25,5.0,5.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:41.040Z,yfinance
VALE3.SA,26.583333333333332,75.23999786376953,0.0821422247265752,0.33444444444444443,0.0,0.0,0.6246575323376756,0.3753424676623243,0.7606476136811484,0.8090066467689363,,-0.047970046766681235,-0.038900689480253915,0.16010038841983143,62.0,1.0,post_breakout,broken_out,,A,89.3,0.43,120.66,above_lid_band,14.5,4.0,4.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:55.714Z,yfinance
UBSG.SW,31.0,42.310001373291016,0.4365862135997144,0.7944848053143285,0.4114996205433833,0.4929169296865762,0.9431060066429107,0.04792973265615302,0.6351834916265136,0.7587747323154113,1.6720936120844512,0.05644812561487935,0.053583385937315244,0.8858918179352717,233.0,1.8204321337952745,post_breakout,broken_out,,A,89.2,0.1,211.67,above_lid_band,12.5,5.0,5.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:54.645Z,yfinance
DTE.DE,29.75,26.389999389648438,0.2615417335291091,0.5700389028146107,0.09578745689330094,0.332879838644746,0.6267251973814939,0.265107226349647,0.48776665132800573,0.5801698004667053,0.778012739241104,0.0541312356061748,0.05540717902924401,0.7576711016203626,316.0,2.921191923464701,post_breakout,broken_out,,A,88.9,0.0,114.11,within_lid_band,26.5,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:43.926Z,yfinance
SAN.PA,26.583333333333332,76.02999877929688,0.0742233754901622,0.33747822672364153,0.0,0.07386969892069478,0.27908950992355713,0.31430374582776077,0.8197900141345745,1.0,0.13930087091332016,0.021967177829750984,0.006385902833723931,0.08932528978512244,51.0,0.9567143318055966,post_breakout,broken_out,,A,87.0,-0.1,90.49,within_lid_band,24.33,4.0,4.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:51.794Z,yfinance
SOL.JO,26.583333333333332,20020.0,0.42974238260906134,0.7163813210311822,0.2878408642441573,0.16978220684453332,0.31755835973311153,0.6582451348583134,0.33447781533723875,0.4901320054980679,1.5522388059701493,-0.044777363798571376,-0.03241785926171509,0.5890852232688848,145.0,1.1146978490952544,post_breakout,broken_out,,A,84.6,-0.16,155.3,above_lid_band,23.42,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:53.595Z,yfinance
SIE.DE,29.75,272.25,0.3795320907129089,0.5707531206303782,0.42299112233936603,0.4826207721733938,0.9464758964656365,0.043562248945607736,0.5782764310770122,0.7014870887934826,1.255242521099044,0.05357028616117683,0.049972470940179634,0.8338726621970494,0.0,0.6635517615767119,post_breakout,broken_out,,A,82.7,0.2,277.41,above_lid_band,18.33,4.0,4.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:53.144Z,yfinance
FCX,31.083333333333332,62.599998474121094,0.4126134648822761,0.6852687611248197,0.15992837933694626,0.3514582305107965,0.8565075525501101,0.13392363681041483,0.6614289927784616,0.9397640977690529,4.738588975584652,0.03926959508122833,0.03399013559213728,0.38223964207666183,218.0,0.8801881572541947,post_breakout,broken_out,,A,82.2,-0.44,136.03,above_lid_band,11.0,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:44.917Z,yfinance
2317.TW,33.583333333333336,253.0,0.04926560778888017,0.3008963386722636,0.005411804015943572,0.2826967754646889,0.7543294432127549,0.1942675159235669,0.8115183146332768,0.9159090909090909,0.4307458807654478,0.05095038053810406,0.040673466450386817,0.7415753247157267,0.0,0.7468152866242038,post_breakout,broken_out,,A,81.2,-0.41,268.06,above_lid_band,9.25,4.0,4.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:35.573Z,yfinance
REL.L,38.083333333333336,2568.0,0.10728750857351732,0.3680554860887649,0.0,0.17359608906750215,0.4416780354706685,0.38929845422116527,0.7551159618008185,1.0,0.5640219952867243,0.05469125398077809,0.03971921781350043,0.338177734189559,24.0,0.8785576601516052,post_breakout,broken_out,,A,80.8,-0.29,375.18,above_lid_band,7.33,5.0,5.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-27T06:45:50.966Z,yfinance
