ticker,age_years,last_close,score_total,score_long_coil,score_tight_resistance,score_ascending_compression,pos_in_10y_range,dist_to_10y_high_pct,range_ratio_24_120,range_ratio_24_60,low_36m_above_10y_low_pct,slope_high_60m,slope_low_60m,trend_r2_60m,peak_age_months,old_peak_similarity,lifecycle,status,grade,lid_grade,coil_score,lid_slope_pct_per_year,proximity_pct,span_years,touches,touch_count,reviewed,review_status,review_id,review_as_of,review_algorithm_version,review_stale,review_effective,data_date,freshness,fetched_at,data_source
MQG.AX,30.083333333333332,253.42999267578125,0.5582046212707447,0.669671725831963,0.49201517605900635,0.48945538650503667,0.9933767576497521,0.004790894364596205,0.5138436235863771,0.9002282142470998,1.204400422697715,0.041814240275265105,0.04673705041431998,0.4882799170277965,54.0,0.8534066857765552,pre_breakout,coiling,A,A,55.4,3.26,99.44,4.5,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:27.171Z,yfinance
AIR.PA,24.916666666666668,195.27999877929688,0.2708762159804662,0.5307246382439488,0.17872632596541332,0.4589561697531424,0.8497516823336589,0.11757796617099621,0.5576856422996919,0.7165751390320949,1.4995844025174783,0.055338773171593934,0.05381844336244612,0.8276780538062308,0.0,0.7807500966861124,pre_breakout,coiling,B,B,66.6,5.56,94.31,8.0,4.0,4.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:10.467Z,yfinance
HSBA.L,38.083333333333336,1462.0,0.14808893963417608,0.3755974842767296,0.32769916142557654,0.44825510134266,0.919496855345912,0.08050314465408805,1.0,1.0,,0.052258406565503894,0.044651020268532,0.8292262584106217,0.0,0.6012357123992728,pre_breakout,coiling,B,B,61.6,5.36,98.27,8.42,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:00.202Z,yfinance
WES.AX,38.5,90.93000030517578,0.528568049746613,0.5835379162150983,0.5914052114297078,0.5926956325635826,0.9366887063875479,0.04460207628544572,0.43147103850617474,0.5246168839200406,0.7194476813441257,0.04516591755760484,0.048973978114589055,0.7527693740992322,0.0,0.7738376586741664,pre_breakout,coiling,B,B,56.2,5.47,98.92,4.83,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:26.228Z,yfinance
SU.PA,26.583333333333332,268.54998779296875,0.3863402933387209,0.6414226343124078,0.3117873327639638,0.5210923692891901,0.8937697013797119,0.08563167643430014,0.5161563096096772,0.6652874665315794,1.3596137503524157,0.05316982742144088,0.05199623187769969,0.8190667611269252,26.0,0.8137554990345972,pre_breakout,coiling,C,C,41.6,8.79,90.77,4.42,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:09.867Z,yfinance
SAN.PA,26.583333333333332,77.0999984741211,0.0742233754901622,0.33747822672364153,0.0,0.07386969892069478,0.3012236286653464,0.3046536761909559,0.8197900141345745,1.0,0.13930087091332016,0.021967177829750984,0.006385902833723931,0.08770714691723613,51.0,0.9567143318055966,forming,basing,,A,74.9,0.9,69.75,23.25,5.0,5.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:09.191Z,yfinance
SHEL.L,30.0,3109.0,0.13114451803207702,0.5017533590528137,0.09648962352002133,0.344494084503606,0.8271916988160171,0.17280830118398297,1.0,1.0,,0.05245177315023628,0.038460477137517796,0.7437090948494417,349.0,1.707830220250765,forming,basing,,A,56.7,2.92,78.68,12.08,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:08:59.007Z,yfinance
AZN.L,33.25,12610.0,0.07808472954267506,0.353053058488802,0.06443872362064576,0.24626104338019994,0.8015509788965166,0.19844902110348334,1.0,1.0,,0.05310941769933789,0.023942012896736673,0.6077127520940011,40.0,0.8154368261147661,forming,basing,,B,56.4,6.04,89.92,5.58,4.0,4.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:08:58.339Z,yfinance
0700.HK,22.166666666666668,454.79998779296875,0.23010652569165693,0.38151546329681274,0.017427212289566184,0.28560326428633465,0.5265183750005451,0.36382682160445784,0.6080087010507909,0.6756019027946073,0.5715843378573973,0.006977831070423466,0.022007650079016085,0.34329364561083764,65.0,1.0,forming,basing,,B,54.4,-1.01,67.09,4.67,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:19.304Z,yfinance
BHP.AX,38.5,58.849998474121094,0.3278231246234297,0.45103272776405195,0.2004405309765604,0.34300245677813884,0.8544365820016543,0.10806311791530447,0.6682030711111184,0.9537518438007637,0.9561259662204635,0.022615063985193282,0.02040494826395239,0.23843907902535078,0.0,0.7705364893293128,forming,basing,,B,53.8,5.97,88.08,6.92,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:24.205Z,yfinance
HDFCBANK.NS,30.583333333333332,824.9500122070312,0.31216219321588357,0.5562293936815228,0.08168037438903616,0.3595432395402,0.7324897567811645,0.19162174208032215,0.4019835507331566,0.7638418670696542,1.355008719910406,0.052344359361973535,0.0462666644613183,0.38098163145749353,24.0,0.8789808917197452,forming,basing,,A,51.6,3.62,80.33,4.67,4.0,4.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:22.743Z,yfinance
SHOP.TO,11.25,176.57000732421875,0.16016995723231503,0.31019095973138744,0.0,0.2870425657450194,0.6924109669875992,0.3023705923894636,0.726429431635346,0.821172196643011,13.708895588989925,0.010757812646753562,0.02185600749607333,0.29319535556294274,56.0,0.8805728791941624,forming,basing,,A,47.8,2.98,68.2,3.92,2.0,2.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:08:55.203Z,yfinance
OR.PA,26.583333333333332,381.79998779296875,0.4672134579177721,0.6089764989726484,0.22337888834283143,0.5817609896348868,0.7378417661357132,0.17332470986826198,0.31734083012008446,0.6003719211799374,1.021086183980631,-0.002594475219948878,0.030801738016417765,0.0013905949108518056,25.0,1.0,forming,basing,,A,47.1,2.31,79.05,2.5,3.0,3.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:08.750Z,yfinance
CSL.AX,32.25,122.54000091552734,0.028245301681503493,0.3427777777777778,0.0,0.0,0.1287438216242427,0.642479938977309,0.8832838773491593,0.971581517912841,0.0,-0.0437284552348736,-0.03904531119814576,0.5267338676037671,77.0,1.0,forming,basing,,B,47.0,-2.24,41.49,4.42,4.0,4.0,False,,,,,False,algorithm,2026-07-01,fresh,2026-07-14T06:09:25.738Z,yfinance
