ticker,age_years,last_close,score_total,score_long_coil,score_tight_resistance,score_ascending_compression,pos_in_10y_range,dist_to_10y_high_pct,range_ratio_24_120,range_ratio_24_60,low_36m_above_10y_low_pct,slope_high_60m,slope_low_60m,trend_r2_60m,peak_age_months,old_peak_similarity
INTC,41.333333333333336,63.810001373291016,0.2706171391454993,0.5550716861194424,0.297986369863038,0.2438396076493029,0.8938396076493029,0.0790878838191544,0.9294847088246871,1.0,0.0,-0.03890271971086984,-0.05094188627019052,0.184431847828066,308.0,1.0943588396317587
MRK,41.333333333333336,119.95999908447266,0.2703299564716747,0.49076411445758394,0.16315690139472921,0.2513754154177525,0.8258126563880849,0.10896535145422613,0.7280957712557686,0.9609871317759943,0.45426609747480073,0.044062756600540126,0.020112551805933528,0.16967697362750678,25.0,0.9886355290514277
MPC,14.916666666666666,223.92999267578125,0.26842842472473694,0.4966265445546042,0.2007835567706816,0.46933244418832726,0.8676146062061084,0.12448688690938861,0.5848821397585242,0.684259178593162,5.836172878777747,0.05350243164339033,0.053139376050135655,0.8349797325271736,24.0,0.8644876135467882
NFLX,24.0,106.27999877929688,0.26790554670830785,0.4562559122206563,0.0525993550114264,0.295905229397997,0.7784983451647303,0.2075458045243562,0.6341463625645939,0.676233007022281,2.7351480458084207,0.04299267133576565,0.036783734491102,0.6044561306433922,0.0,0.5226782697854827
MNST,40.416666666666664,75.06999969482422,0.26727277733302185,0.4440650972432561,0.09824318319810542,0.3706001633618128,0.8164330747576023,0.14087889614933846,0.6570235485036556,0.8557001240350831,1.1318897807788064,0.05084260378492746,0.04583341772084211,0.66888146798043,0.0,0.7007324498381264
WRB,52.583333333333336,65.98999786376953,0.26545060457617486,0.5245904037255746,0.1847150401988869,0.49094389546439693,0.7934518246802558,0.16426040236940243,0.44250461064560764,0.584517591158797,1.288764655155428,0.05617005490574507,0.05533769841427544,0.8515178572921989,0.0,0.7530395108143481
CAH,41.333333333333336,214.9499969482422,0.26416500659991926,0.49479970825086533,0.3096098611889404,0.5,0.9041377101154493,0.07983736587322272,0.7218195989628808,0.7479627282453665,0.9861715511887935,0.05366635526633483,0.05520145181558868,0.8679593278123509,0.0,0.49674656628264946
KEY,38.5,21.6299991607666,0.26262520201812073,0.48945050887960334,0.09282260662539138,0.13742834458956965,0.7190668944974589,0.20390139491979764,0.5385395890176377,0.570048350724452,0.1463087490596067,-0.034695123099488245,-0.015074374592561413,0.044258599737592164,336.0,1.6516378312105275
ADM,41.333333333333336,68.83999633789062,0.2608967611750701,0.46085639294765357,0.11138685272002688,0.15027522217599693,0.5706117477467535,0.303802606694439,0.4746998890678793,0.5735752022794365,0.4170124285659357,-0.02275518370970969,-0.020088334187504428,0.2444179213038955,48.0,1.0
DHR,47.416666666666664,198.61000061035156,0.26071025964347727,0.5683908466835839,0.018917747271564405,0.1069308376999846,0.579814025616092,0.32916495729491146,0.4772987032741227,0.8851480152226939,1.6663097836968008,-0.022426926478539444,-0.013605489534843584,0.29777915508674935,55.0,1.0
MRSH,41.333333333333336,172.85000610351562,0.2600134963838356,0.5247193250320386,0.043648222518571644,0.28977479842517195,0.5952496653330943,0.303024168937437,0.447622132977714,0.7162185920281633,1.6454354972839944,0.056112061907188406,0.052070826326299675,0.5089983949138375,25.0,0.8435483747912992
PTC,36.416666666666664,133.64999389648438,0.2582524855998728,0.5290410877182165,0.016774738416149525,0.2665697027497106,0.5350445440367986,0.3916428038998711,0.47987031390062057,0.7211304490165739,2.5918013961087443,0.0510903715516402,0.04973324868570073,0.5489069884923874,25.0,0.8841549607837527
AZO,35.083333333333336,3508.5,0.257596068410394,0.5522539482469172,0.19983240084050163,0.4903174353086464,0.7742842161768966,0.20045301751481526,0.425750184210598,0.5493568022205023,3.6380385237428534,0.056782661432732875,0.057332573163582444,0.9190937457922947,0.0,0.7420894687337019
MO,41.333333333333336,65.62000274658203,0.25753041523904396,0.4730048270718033,0.0,0.2733139376412905,0.7401793738407381,0.15644681868767157,0.5794193662667234,0.8632315870498318,0.2623586019942177,0.033739026141487244,0.040156867493447886,0.43091685299276317,231.0,1.1633885966690567
WTW,24.916666666666668,288.4800109863281,0.24979570676260351,0.38752943782521476,0.09964876182541585,0.38397791908516704,0.7320751745967328,0.18228973610630175,0.4361955147756064,0.6349302995395436,0.7319083858316544,0.047676359671200715,0.04903239277734043,0.688948804739003,0.0,0.7904418452827424
A,26.5,120.38999938964844,0.24814896487435617,0.5587048838587779,0.03442783728622339,0.05046907312266716,0.5747951964308601,0.32956510286107593,0.45868659525653194,0.7678614214293101,1.387472190204832,-0.031548059697400155,-0.012916141749503963,0.15710424196789918,55.0,1.0
SJM,31.583333333333332,92.20999908447266,0.24744832613075668,0.4208806313794603,0.14782155125587967,0.10943412255765875,0.052927007442176904,0.43453734627521623,0.4967922284192777,0.4967922284192777,0.0,-0.030178467445013183,-0.038755872208461495,0.47503343835433454,39.0,1.0
